id,kraj,powiat,gmina,miasto,ulica,numer,kod_pocztowy,hash
457,Polska,lubliniecki,Koszęcin,Koszęcin,Śląska,16a,00-000,92a823974f01034052912035c02784a6d239545d
787,Polska,lubliniecki,Koszęcin,Koszęcin,Damrota,7,00-000,bdc1be9eac905ae115abdcafe5a07d0d754fe39a
1448,Polska,lubliniecki,Koszęcin,Sadów,"Powstańców Śląskich",50,00-000,5961f8864af934888035201b5c39eab623c995fb
2220,Polska,zawierciański,Żarnowiec,Żarnowiec,Miechowska,6b,42-439,b951a0ff3c77b1ee71ae1a724bb7cce32d22ae67
2538,Polska,częstochowski,Poczesna,"Nowa Wieś",Częstochowska,62,42-262,eddc5aea8cf58c37f9a404bb7229b63fb53f907a
2650,Polska,częstochowski,Poczesna,Słowik,Równoległa,64,42-263,3f4d772fb5940c5328cd6486b37592448de36819
2775,Polska,częstochowski,Poczesna,Nierada,Gajowa,21,42-262,f93f020a617096d3a76028b04aad362af74eeaa5
2956,Polska,częstochowski,Poczesna,Wrzosowa,,3a,42-263,9429d09758e642fa0cb80834be512f2ed7860373
3327,Polska,częstochowski,Poczesna,Korwinów,Okólna,16A,42-263,c90b55a9068c30ad9d7aeb01b5e16da8161acb3f
3387,Polska,częstochowski,Poczesna,Nierada,Targowa,44,42-262,bf9ee6d051af1d3486d39293e528c9027001fc8a
5176,Polska,cieszyński,Skoczów,Skoczów,"Jana Żebroka",17,43-430,e608695be474f055fdaeec9f0d642dcb8f64e146
6796,Polska,żywiecki,Rajcza,Rajcza,Wspólna,6,34-370,16e0791de77f18c65cc631bd38bc2fda425898ca
6953,Polska,żywiecki,Rajcza,Zwardoń,,143,34-373,03490ab1d2673ac1c33c8551cfab38348c8df577
7171,Polska,żywiecki,Rajcza,Sól,,231A,34-370,6e793a241c7e17e0c76e321c42baa0b40779db17
8334,Polska,cieszyński,Skoczów,"Ochaby Wielkie",Prucheńska,16,43-430,538676530b43f2267087da72166edddd6989dde5
8660,Polska,cieszyński,Skoczów,"Ochaby Małe","Świętego Marcina",7,43-430,0aa8caab174f759925724cd64d3aba0d1a6b28d6
8773,Polska,cieszyński,Skoczów,Skoczów,Krzywa,18a,43-430,be09af4ee167046ab66ffca0d43f72376f38ec2d
8792,Polska,cieszyński,Skoczów,"Ochaby Małe",Dębowiecka,18,43-430,5678dc9880303df16d5e70d66b22a32c4032b337
9439,Polska,myszkowski,Żarki,Żarki,Niegowska,26,42-310,d5e5f82d61bb4436ba245d4f03821ba4b5359a02
9741,Polska,wodzisławski,Godów,Gołkowice,"1 Maja",224,44-341,b4295a65e25380d2e1b82e844cd729d999df8d4f
10020,Polska,rybnicki,Świerklany,Świerklany,Rybacka,9,44-266,b44252da53fdbc4ce904880fcda2501f8a527e66
10079,Polska,rybnicki,Świerklany,Świerklany,Tulipanowa,16,44-266,3d6a3da7c377bad75b8fcc4280c08ba6229ca624
10503,Polska,pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,Robotnicza,3a,43-230,15fdea38a5edaeea2603d773bc063c33febacb5f
11271,Polska,pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,Zimowa,7,43-230,a77f1125b7347b223ec00f5f3d5808f9b7f7d3d8
11464,Polska,pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,"Powstańców Śląskich",28,43-230,5127a98190db50fd46bf1faa08e2188a0c96f200
13391,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,LELEWELA,4,44-280,36a156842ed8fa70cad347bd660cecf2146ef32e
13684,Polska,wodzisławski,Rydułtowy,RYDUŁTOWY,PRZERWY-TETMAJERA,102,44-280,23572c6838f09402dcafd1dbc85cb757ffad26cd
14085,Polska,będziński,Siewierz,Siewierz,Źródlana,11,42-470,971678b7c2d6e48027e203b3bd8a83dd28ea5069
14129,Polska,będziński,Siewierz,Siewierz,Kamienna,7,42-470,e4d8093d04e081cda7a676d1b7b0330f3a1578f8
15813,Polska,cieszyński,Strumień,Bąków,Zielona,41,43-246,9317886d109c01d58a92c0bc155a2086a9f17e7f
