id,kraj,powiat,gmina,miasto,ulica,numer,kod_pocztowy,hash
19,Polska,raciborski,"Kuźnia Raciborska",Rudy,Rogera,61,47430,3aec2e33748330370db131bd6a8c55d5843fc89c
147,Polska,lubliniecki,Koszęcin,Strzebiń,Sienkiewicza,1,,b9e16dcfda804a80e6d9c6f9dade51b3709a2f97
266,Polska,lubliniecki,Koszęcin,Koszęcin,Opiełki,4,,4171aef10fac7edba9e3d03878079e8508942e0e
366,Polska,lubliniecki,Koszęcin,Strzebiń,Kolejowa,31,,c2d59e3d2f198ddc13e4a03f1791ff42410aec34
494,Polska,lubliniecki,Koszęcin,Wierzbie,Zamkowa,12,,dfb2f87a924e4600ec2a0410a3dbdfd3e4f90186
591,Polska,lubliniecki,Koszęcin,Koszęcin,Śląska,5,,bafbfdf3517d1c6025ce05e34e859c5137aceea6
724,Polska,lubliniecki,Koszęcin,Koszęcin,Śląska,16,,477e9cd0eb2c6da328c8760116d70550ddbe48e3
753,Polska,lubliniecki,Koszęcin,Koszęcin,Mickiewicza,4,,f49b70bd3f9ca88813fc589556d46600a7eec6d6
869,Polska,lubliniecki,Koszęcin,Sadów,Podlesie,14,,25766391c652500febd1fc32b9a1e6497ab7e605
899,Polska,lubliniecki,Koszęcin,Sadów,"Powstańców Śląskich",24,,80cd821c4ca0346bd28037e9147ec9fa36eb3fcd
906,Polska,lubliniecki,Koszęcin,Sadów,"Powstańców Śląskich",2,,e70a04fba8477489458ac98728b7c4525ce9573f
908,Polska,lubliniecki,Koszęcin,Sadów,"Powstańców Śląskich",6,,eb7c285dce835f3185fa53a08bba4e41128d2daf
944,Polska,lubliniecki,Koszęcin,Sadów,,4,,7e8a8cf3c43fa39c1172d83c8afca9932fd02ffc
1055,Polska,lubliniecki,Koszęcin,Koszęcin,Leśna,1A,,f7b0c7454b6a727e46a68ad8e5ce28859742c1e1
1098,Polska,lubliniecki,Koszęcin,Strzebiń,Kosmonautów,20,,793535aa33bbe4163b0de97fb19ae35998bcfeac
1184,Polska,lubliniecki,Koszęcin,Sadów,Kochanowicka,11,,023f60bab680b38c13bbb5e655b81777ac4aaaa7
1234,Polska,lubliniecki,Koszęcin,Rusinowice,Stawowa,18,,2a5b8af760460a27467f630eaef1a0126983c6c7
